Tiploc_x,Name_x,Stanox_x,Latitude_x,Longitude_x,InBPlan_x,InTPS_x,CRS_x,Easting,Northing,index,CRS_y,InBPlan_y,InTPS_y,Latitude_y,Longitude_y,Name_y,Stanox_y,Tiploc_y
HESSR49,Hessle Road Jn Sig. HR49,19125,53.7635357,-0.3482517,True,False,,508980.263,430952.7562,108061,,1.0,0.0,53.7635357,-0.3482517,Hessle Road Jn Sig. HR49,19125,HESSR49
HESTBNK,Hest Bank Jn,11716,54.092266,-2.8139431,True,True,,346861.115,466568.9307,102859,,1.0,1.0,54.092266,-2.8139431,Hest Bank Jn,11716,HESTBNK
HESWALL,Heswall,38033,53.3296211,-3.0733738,True,True,HSW,328611.7426,381949.1752,102240,HSW,1.0,1.0,53.3296211,-3.0733738,Heswall,38033,HESWALL
HETHRST,Hethersett G.F.,48421,52.5920994,1.203953,True,True,,617113.3244,304187.8705,111049,,1.0,1.0,52.5920994,1.203953,Hethersett G.F.,48421,HETHRST
HETNLEJ,Heaton Lodge East Jn,18444,53.6768073,-1.7104314,True,True,,419225.8634,420076.7094,105003,,1.0,1.0,53.6768073,-1.7104314,Heaton Lodge East Jn,18444,HETNLEJ
HETNLJN,Heaton Lodge Jn,18443,53.6796294,-1.7177949,True,True,,418738.2009,420388.7351,104992,,1.0,1.0,53.6796294,-1.7177949,Heaton Lodge Jn,18443,HETNLJN
HEVEBUS,Hever (Brocas Farm),<NA>,51.1800691,0.0945936,True,True,HBF,546501.0013,144400.0152,110107,HBF,1.0,1.0,51.1800691,0.0945936,Hever (Brocas Farm),,HEVEBUS
HEVER,Hever,87762,51.1817322,0.0942858,True,True,HEV,546474.2211,144584.3302,110103,HEV,1.0,1.0,51.1817322,0.0942858,Hever,87762,HEVER
HEWISH,Hewish,83465,50.8712355,-2.8250722,True,False,,342040.0001,108295.0064,102787,,1.0,0.0,50.8712355,-2.8250722,Hewish,83465,HEWISH
HEWOMTR,Heworth (Metro),13157,54.9515508,-1.5559709,True,True,HEZ,428536.8937,561968.1601,105280,HEZ,1.0,1.0,54.9515508,-1.5559709,Heworth (Metro),13157,HEWOMTR
HEWORTH,Heworth,13156,54.9516033,-1.5574012,True,True,HEW,428445.2506,561973.4224,105278,HEW,1.0,1.0,54.9516033,-1.5574012,Heworth,13156,HEWORTH
HEXH55,Hexham Sig. HE55 Rev,13320,54.9702899,-2.0823068,True,True,,394828.9571,563966.4865,104364,,1.0,1.0,54.9702899,-2.0823068,Hexham Sig. HE55 Rev,13320,HEXH55
HEXHAM,Hexham,13316,54.9735864,-2.0949361,True,True,HEX,394020.9579,564334.3537,104321,HEX,1.0,1.0,54.9735864,-2.0949361,Hexham,13316,HEXHAM
HEXHCE,Hexham Isu (Civil Engineering),13317,54.9709203,-2.085955,True,True,,394595.4943,564036.9201,104357,,1.0,1.0,54.9709203,-2.085955,Hexham Isu (Civil Engineering),13317,HEXHCE
HEXHFD,Hexham Freight Depot,13315,54.9721577,-2.0912769,True,True,,394254.9841,564175.0529,104335,,1.0,1.0,54.9721577,-2.0912769,Hexham Freight Depot,13315,HEXHFD
HEXHM35,Hexham Sig. Hm35,13323,54.971961,-2.0902657,True,True,,394319.6875,564153.0796,104343,,1.0,1.0,54.971961,-2.0902657,Hexham Sig. Hm35,13323,HEXHM35
HEXHM55,Hexham Sig. Hm55,13324,54.9711719,-2.0866517,True,True,,394550.9287,564064.9738,104355,,1.0,1.0,54.9711719,-2.0866517,Hexham Sig. Hm55,13324,HEXHM55
HEXHTS,Hexham Tamper Sidings,13310,54.9733746,-2.0939276,True,True,,394085.4827,564310.6969,104323,,1.0,1.0,54.9733746,-2.0939276,Hexham Tamper Sidings,13310,HEXHTS
HEYFFRI,Fritwell And Somerton,74610,51.94666,-1.2879721,True,False,,449037.1254,227812.9831,106267,,1.0,0.0,51.94666,-1.2879721,Fritwell And Somerton,74610,HEYFFRI
HEYFORD,Heyford,74609,51.9187417,-1.2993774,True,True,HYD,448283.0897,224700.2228,106226,HYD,1.0,1.0,51.9187417,-1.2993774,Heyford,74609,HEYFORD
HEYMCEG,Heysham Harbour P.S.,11603,54.0322464,-2.9143457,True,True,,340208.0563,459971.3669,102701,,1.0,1.0,54.0322464,-2.9143457,Heysham Harbour P.S.,11603,HEYMCEG
HEYMST,Heysham Port,11611,54.0351154,-2.912254,True,True,,340349.1739,460288.8039,102711,,1.0,1.0,54.0351154,-2.912254,Heysham Port,11611,HEYMST
HEYSHBR,Heysham Harbour,11611,54.0334033,-2.9125902,True,True,HHB,340324.6983,460098.5994,102710,HHB,1.0,1.0,54.0334033,-2.9125902,Heysham Harbour,11611,HEYSHBR
HFDN,Hertford North,53241,51.7990164,-0.0923461,True,True,HFN,531642.0876,212872.9416,109418,HFN,1.0,1.0,51.7990164,-0.0923461,Hertford North,53241,HFDN
HFDNCHS,Hertford Nth C.H.S.,53242,51.7940648,-0.0916063,True,True,XHQ,531707.5133,212323.6202,109426,XHQ,1.0,1.0,51.7940648,-0.0916063,Hertford Nth C.H.S.,53242,HFDNCHS
HFDNDCS,Hertford North Down CS,53240,51.7951223,-0.0920221,True,True,XHP,531675.7624,212440.4719,109420,XHP,1.0,1.0,51.7951223,-0.0920221,Hertford North Down CS,53240,HFDNDCS
HFLPEVL,Hatfield Peverel,50217,51.780154,0.5923482,True,True,HAP,578924.338,212232.9449,110693,HAP,1.0,1.0,51.780154,0.5923482,Hatfield Peverel,50217,HFLPEVL
HGHBRDG,Highbridge & Burnham,81915,51.2182639,-2.9720176,True,True,HIG,332209.641,147011.9772,102413,HIG,1.0,1.0,51.2182639,-2.9720176,Highbridge & Burnham,81915,HGHBRDG
HGHBRDJ,Highbridge Loop,81916,51.2159568,-2.9725468,True,True,,332169.2857,146755.8988,102405,,1.0,1.0,51.2159568,-2.9725468,Highbridge Loop,81916,HGHBRDJ
HGHDJN,Highdyke Jn,44650,52.8561196,-0.6102348,True,True,,493674.8828,329640.6763,107676,,1.0,1.0,52.8561196,-0.6102348,Highdyke Jn,44650,HGHDJN
HGHI,Highbury & Islington (Great Northern),54293,51.5469296,-0.1033032,True,True,HHY,531614.7569,184819.6918,109417,HHY,1.0,1.0,51.5469296,-0.1033032,Highbury & Islington (Great Northern),54293,HGHI
HGHIBVJ,Highbury Vale Jn,54290,51.5537718,-0.1058566,True,True,,531418.0134,185575.9832,109395,,1.0,1.0,51.5537718,-0.1058566,Highbury Vale Jn,54290,HGHIBVJ
HGHMSPK,Highams Park,52732,51.6089793,-0.0001475,True,True,HIP,538578.259,191910.2905,109846,HIP,1.0,1.0,51.6089793,-0.0001475,Highams Park,52732,HGHMSPK
HGHNGTN,Heighington,15834,54.597092,-1.5817662,True,True,HEI,427119.8375,522514.8206,105239,HEI,1.0,1.0,54.597092,-1.5817662,Heighington,15834,HGHNGTN
HGHNMPS,Merchant Park Sidings (Hitachi),15835,54.5946413,-1.5910058,True,True,,426524.4591,522238.6112,105226,,1.0,1.0,54.5946413,-1.5910058,Merchant Park Sidings (Hitachi),15835,HGHNMPS
HGHWTHJ,Highworth Jn,75008,51.5708772,-1.7667956,True,True,,416259.3554,185804.2712,104935,,1.0,1.0,51.5708772,-1.7667956,Highworth Jn,75008,HGHWTHJ
HGTNSD,Haughton Sidings,64122,52.8336631,-2.926984,True,False,,337646.9949,326640.9968,102613,,1.0,0.0,52.8336631,-2.926984,Haughton Sidings,64122,HGTNSD
HIGBRNT,High Barnet LUL,<NA>,51.6503951,-0.1938808,True,True,ZHB,525050.2413,196166.7145,108886,ZHB,1.0,1.0,51.6503951,-0.1938808,High Barnet LUL,,HIGBRNT
HIGH238,Highbury Sig. 1238,52066,51.548052,-0.1028063,True,False,,531645.9721,184945.4003,109419,,1.0,0.0,51.548052,-0.1028063,Highbury Sig. 1238,52066,HIGH238
HIGH321,Highbury Sig. Ell 321,52050,51.5450759,-0.1084556,True,True,,531262.8461,184604.3027,109370,,1.0,1.0,51.5450759,-0.1084556,Highbury Sig. Ell 321,52050,HIGH321
HIGHBYA,Highbury & Islington (North London Lines),52053,51.5460368,-0.1047978,True,True,HII,531513.7012,184717.7231,109401,HII,1.0,1.0,51.5460368,-0.1047978,Highbury & Islington (North London Lines),52053,HIGHBYA
HIGHBYE,Highbury & Islington (East London Line),52051,51.5458835,-0.1047236,True,True,XHZ,531519.2877,184700.8089,109402,XHZ,1.0,1.0,51.5458835,-0.1047236,Highbury & Islington (East London Line),52051,HIGHBYE
HIGM,Higham,88755,51.4268792,0.4660812,True,True,HGM,571541.1412,172648.3214,110594,HGM,1.0,1.0,51.4268792,0.4660812,Higham,88755,HIGM
HIHAM,Highams (suffolk),46285,52.2654692,0.5500414,True,False,,574112.0058,266097.0021,110629,,1.0,0.0,52.2654692,0.5500414,Highams (suffolk),46285,HIHAM
HILGAY,Hilgay Ahb,46257,52.5356677,0.3404999,True,False,,558842.0032,295663.0019,110375,,1.0,0.0,52.5356677,0.3404999,Hilgay Ahb,46257,HILGAY
HILHQRY,Hillhouse Quarry,8502,55.5749422,-4.629231,True,False,,234339.7776,634392.1774,100415,,1.0,0.0,55.5749422,-4.629231,Hillhouse Quarry,8502,HILHQRY
HILL102,Hillside Sig. 102,36061,53.6060713,-3.0389278,True,False,,331353.9964,412669.9215,102380,,1.0,0.0,53.6060713,-3.0389278,Hillside Sig. 102,36061,HILL102
HILLSID,Hillside,36061,53.6215263,-3.0254611,True,True,HIL,332269.8114,414376.3845,102420,HIL,1.0,1.0,53.6215263,-3.0254611,Hillside,36061,HILLSID
HILSEA,Hilsea,86332,50.8277397,-1.0591027,True,True,HLS,466364.2516,103555.2143,107089,HLS,1.0,1.0,50.8277397,-1.0591027,Hilsea,86332,HILSEA
HILTONJ,Hilton Jn,3149,56.3647695,-3.4311428,True,True,,311684.8193,720081.0707,101855,,1.0,1.0,56.3647695,-3.4311428,Hilton Jn,3149,HILTONJ
HILTP5A,Hilton Jn Sig. P5A,3146,56.3655258,-3.430219,True,True,,311743.6357,720164.0554,101856,,1.0,1.0,56.3655258,-3.430219,Hilton Jn Sig. P5A,3146,HILTP5A
HINCELM,Elmesthorp,59315,52.5576653,-1.3128491,True,False,,446682.9987,295758.0045,106159,,1.0,0.0,52.5576653,-1.3128491,Elmesthorp,59315,HINCELM
HINCKLY,Hinckley,59318,52.535234,-1.3708575,True,True,HNK,442772.0574,293227.0109,105928,HNK,1.0,1.0,52.535234,-1.3708575,Hinckley,59318,HINCKLY
HINDLEY,Hindley,35123,53.542398,-2.5749848,True,True,HIN,361994.3931,405237.8439,103362,HIN,1.0,1.0,53.542398,-2.5749848,Hindley,35123,HINDLEY
HINKN,Hinksey North,74444,51.7436931,-1.263902,True,True,,450919.5141,205255.2563,106397,,1.0,1.0,51.7436931,-1.263902,Hinksey North,74444,HINKN
HINKREC,Hinksey Rec Lines,74456,51.7366641,-1.2575012,True,True,,451369.3945,204477.9742,106421,,1.0,1.0,51.7366641,-1.2575012,Hinksey Rec Lines,74456,HINKREC
HINKSEY,Hinksey Sidings,74439,51.7375764,-1.2584586,True,True,,451302.252,204578.7672,106415,,1.0,1.0,51.7375764,-1.2584586,Hinksey Sidings,74439,HINKSEY
HINKSYS,Hinksey South,74443,51.7288065,-1.2514918,True,True,,451793.3243,203608.2992,106449,,1.0,1.0,51.7288065,-1.2514918,Hinksey South,74443,HINKSYS
HINTONA,Hinton Admiral,86913,50.7525596,-1.7141046,True,True,HNA,420264.579,94812.2533,105025,HNA,1.0,1.0,50.7525596,-1.7141046,Hinton Admiral,86913,HINTONA
HIRWAUN,Hirwaun Pond,78114,51.7453837,-3.5319358,True,False,,294332.7049,206297.9088,101551,,1.0,0.0,51.7453837,-3.5319358,Hirwaun Pond,78114,HIRWAUN
HIRWBUS,Hirwaun Clock (Bus),<NA>,51.7397642,-3.5125083,True,True,XHW,295660.9363,205644.9595,101580,XHW,1.0,1.0,51.7397642,-3.5125083,Hirwaun Clock (Bus),,HIRWBUS
HITC217,Hitchin Sig. K217,53302,51.9489899,-0.2580559,True,True,,519817.2093,229265.7036,108565,,1.0,1.0,51.9489899,-0.2580559,Hitchin Sig. K217,53302,HITC217
HITC228,Hitchin Sig. K228,53216,51.9566845,-0.2666126,True,True,,519208.7765,230107.3977,108508,,1.0,1.0,51.9566845,-0.2666126,Hitchin Sig. K228,53216,HITC228
HITC232,Hitchin Sig. K.232,53210,51.9593896,-0.2695833,True,True,,518997.4991,230403.3805,108484,,1.0,1.0,51.9593896,-0.2695833,Hitchin Sig. K.232,53210,HITC232
HITC234,Hitchin Sig. K234,53215,51.9571082,-0.266704,True,True,,519201.3735,230154.369,108506,,1.0,1.0,51.9571082,-0.266704,Hitchin Sig. K234,53215,HITC234
HITC666,Hitchin Sig. K666,53239,51.9176756,-0.2164101,True,True,,522764.5893,225852.5277,108741,,1.0,1.0,51.9176756,-0.2164101,Hitchin Sig. K666,53239,HITC666
HITC672,Hitchin Sig. K672,53236,51.9358983,-0.2378483,True,True,,521241.1975,227843.2001,108650,,1.0,1.0,51.9358983,-0.2378483,Hitchin Sig. K672,53236,HITC672
HITC687,Hitchin Sig. K687,53207,51.9431577,-0.2494819,True,True,,520422.0464,228631.2327,108607,,1.0,1.0,51.9431577,-0.2494819,Hitchin Sig. K687,53207,HITC687
HITC689,Hitchin Sig. K689,53214,51.9448763,-0.2521044,True,True,,520237.2054,228818.0291,108596,,1.0,1.0,51.9448763,-0.2521044,Hitchin Sig. K689,53214,HITC689
HITC708,Hitchin Sig. K708,53209,51.9594161,-0.2694786,True,True,,519004.6227,230406.4988,108485,,1.0,1.0,51.9594161,-0.2694786,Hitchin Sig. K708,53209,HITC708
HITC941,Hitchin East Jn Sig. K941,53253,51.9584143,-0.2666883,True,True,,519198.991,230299.6502,108505,,1.0,1.0,51.9584143,-0.2666883,Hitchin East Jn Sig. K941,53253,HITC941
HITC944,Hitchin East Jn Sig. K944,53258,51.9610736,-0.2639644,True,True,,519379.0878,230599.8625,108525,,1.0,1.0,51.9610736,-0.2639644,Hitchin East Jn Sig. K944,53258,HITC944
HITC945,Hitchin East Jn Sig. K945,53254,51.9581522,-0.2667172,True,True,,519197.6999,230270.4539,108504,,1.0,1.0,51.9581522,-0.2667172,Hitchin East Jn Sig. K945,53254,HITC945
HITCCEE,Hitchin Engineers Yard,53212,51.9541925,-0.2658878,True,True,XHY,519265.1852,229831.4417,108515,XHY,1.0,1.0,51.9541925,-0.2658878,Hitchin Engineers Yard,53212,HITCCEE
HITCFHH,Hitchin Engineers Sidings,53213,51.9542155,-0.2658406,True,True,,519268.3676,229834.0769,108516,,1.0,1.0,51.9542155,-0.2658406,Hitchin Engineers Sidings,53213,HITCFHH
HITCGBR,Hitchin Up Yard (GBRf),53208,51.9565922,-0.2660377,True,True,,519248.5233,230098.0742,108514,,1.0,1.0,51.9565922,-0.2660377,Hitchin Up Yard (GBRf),53208,HITCGBR
HITCHCJ,Cambridge Jn,53259,51.956232,-0.2662654,True,True,,519233.8325,230057.6423,108511,,1.0,1.0,51.956232,-0.2662654,Cambridge Jn,53259,HITCHCJ
HITCHDY,Hitchin Down Yard,53219,51.9580883,-0.2685806,True,True,,519069.8366,230260.2982,108488,,1.0,1.0,51.9580883,-0.2685806,Hitchin Down Yard,53219,HITCHDY
HITCHIN,Hitchin,53221,51.9528452,-0.2626689,True,True,HIT,519489.9506,229686.8821,108533,HIT,1.0,1.0,51.9528452,-0.2626689,Hitchin,53221,HITCHIN
HITCHUS,Hitchin Up Sidings,53257,51.9526062,-0.2618146,True,True,,519549.2908,229661.7046,108542,,1.0,1.0,51.9526062,-0.2618146,Hitchin Up Sidings,53257,HITCHUS
