TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
UNVRSYB,University,1995-01-01,404400.0,283700.0,O,5,66501,False,4,102681,UNVRSYB,University
UPHALL,Uphall,1995-01-01,306220.0,670570.0,O,9,4028,False,4,101073,UPHALL,Uphall
UPHILLJ,Uphill Jn,1995-01-01,332900.0,158700.0,T,4,81913,False,2,101493,UPHILLJ,Uphill Jn
UPHOLND,Upholland,1995-01-01,350950.0,403780.0,O,6,36044,False,4,101820,UPHOLND,Upholland
UPMNLT,Upminster L.T.,1995-01-01,556100.0,186800.0,O,3,51353,False,2,105485,UPMNLT,Upminster L.T.
UPMNSP6,Upminster,1995-01-01,556130.0,186870.0,O,3,50392,False,4,105489,UPMNSP6,Upminster
UPMNSTR,Upminster,1995-01-01,556130.0,186860.0,T,3,51351,False,4,105488,UPMNSTR,Upminster
UPRHLWY,Upper Holloway,1995-01-01,529750.0,186630.0,O,3,63641,False,4,104855,UPRHLWY,Upper Holloway
UPTNLOV,Upton Lovell,1995-01-01,234567.0,876543.0,O,3,82124,False,2,100259,UPTNLOV,Upton Lovell
UPTON,Upton,1995-01-01,327990.0,388286.0,O,6,38031,False,4,101344,UPTON,Upton
UPWEY,Upwey,1995-01-01,367140.0,83280.0,O,3,86978,False,4,102058,UPWEY,Upwey
URMSTON,Urmston,1995-01-01,376600.0,394670.0,O,6,33095,False,4,102202,URMSTON,Urmston
USAN,Usan,1995-01-01,371425.0,754890.0,O,9,3018,False,2,102136,USAN,Usan
UTOXETR,Uttoxeter,1995-01-01,409700.0,333270.0,M,8,43605,False,4,102763,UTOXETR,Uttoxeter
UWRLNGH,Upper Warlingham,1995-01-01,534068.0,158353.0,O,3,87745,False,4,105028,UWRLNGH,Upper Warlingham
VALLEY,Valley,1995-01-01,229200.0,379100.0,O,6,40012,False,4,100191,VALL*,Valley*
VALLYNE,Valley Nuclear Electric,1995-01-01,229200.0,379100.0,O,6,40011,False,2,100191,VALL*,Valley*
VAUXHAL,Vauxhall (X),2000-06-01,530430.5,178030.0,O,3,87214,True,3,104884,VAUXHAL,Vauxhall (X)
VAUXHLM,Vauxhall,1995-01-01,530430.0,178030.0,O,3,87214,False,4,104883,VAUXHLM,Vauxhall
VAUXHLW,Vauxhall,2012-09-12,530431.0,178030.0,O,3,87214,False,4,104885,VAUXHLW,Vauxhall
VAXHALM,Vauxhall (Merseyrail),1995-01-01,338000.0,378500.0,O,6,0,False,2,101597,VAXHALM,Vauxhall (Merseyrail)
VICT10,Victoria Platform 10,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT11,Victoria Platform 11,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT12,Victoria Platform 12,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT13,Victoria Platform 13,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT14,Victoria Platform 14,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT15,Victoria Platform 15,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT16,Victoria Platform 16,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT17,Victoria Platform 17,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT18,Victoria Platform 18,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT19,Victoria Platform 19,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICT9,Victoria Platform 9,2000-01-26,528900.5,179000.0,O,3,87201,True,3,104826,VICT*,*
VICTCRB,Victoria Carriage Rd Bdge,1995-01-01,528900.5,179000.0,O,3,87201,False,3,104826,VICT*,*
VICTCRS,Victoria Carr Rd Sth,1995-01-01,528900.5,179000.0,O,3,87201,False,3,104826,VICT*,*
VICTCS,Victoria C.H.S.,1995-01-01,528700.0,178100.0,O,3,87196,False,2,104806,VICTCS,Victoria C.H.S.
VICTRCR,Victoria Carriage Road,1995-01-01,528900.5,179000.0,O,3,87201,False,3,104826,VICT*,*
VICTRIA,London Victoria,2012-09-12,528900.5,179000.0,O,3,87201,False,3,104826,VICT*,*
VICTRIC,London Victoria (C),1995-01-01,528900.0,179000.0,T,3,87201,False,4,104825,VICTRIC,London Victoria (C)
VICTRIE,London Victoria,1995-01-01,528901.0,179000.0,T,3,87201,False,4,104827,VICTRIE,London Victoria
VOLTRDJ,Voltaire Road Jn.,1995-01-01,529600.0,175800.0,T,3,87208,False,2,104849,VOLTRDJ,Voltaire Road Jn.
VRGN491,Virginia Water Sig.F491,1995-01-01,500100.0,167900.0,O,3,87112,False,2,104197,VRGN491,Virginia Water Sig.F491
VRGNWTR,Virginia Water,1995-01-01,500115.0,167955.0,T,3,87106,False,4,104199,VRGNWTR,Virginia Water
VTRLWKS,Vitriol Works,1995-01-01,385616.0,407180.0,O,6,31134,False,2,102344,VTRLWKS,Vitriol Works
WACRJN,Whitacre Jn,1995-01-01,421900.0,291400.0,M,5,66211,False,2,102942,WACRJN,Whitacre Jn
