TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
CRDFCEN_4B,CRDFCEN,4B,1995-01-01,0,False,False,101233,106,101233106,318167.28092925705,175833.20576962392,1,"POLYGON ((318316.6173 175838.416, 318316.2959 175843.4826, 318291.3083 175840.425, 318269.1495 175839.6246, 318269.1929 175837.5771, 318246.84 175836.8023, 318246.7554 175838.8838, 318242.6399 175838.6942, 318242.7071 175836.8243, 318237.7792 175836.6589, 318237.7171 175838.4064, 318230.7754 175838.2845, 318230.8422 175836.3924, 318225.8796 175836.2276, 318225.8135 175838.1642, 318224.2702 175838.0889, 318190.6962 175837.1836, 318017.8009 175831.6064, 318018.0627 175826.3072, 318090.4071 175827.6984, 318279.461 175833.3183, 318292.4786 175834.1545, 318300.521 175835.3377, 318316.6173 175838.416))"
CRDFCEN_6,CRDFCEN,6,1995-01-01,0,False,True,101233,128,101233128,318151.7601003148,175821.27404902666,2,"POLYGON ((318263.8602 175827.3622, 318264.1538 175822.7299, 318244.649 175821.0971, 318244.5094 175823.2129, 318239.8229 175822.9324, 318239.9596 175820.6387, 318232.3202 175820.3278, 318232.21 175822.5433, 318227.837 175822.3245, 318227.9483 175820.1757, 318226.3119 175819.9351, 318191.1007 175818.7335, 318121.879 175818.4363, 318039.4083 175818.4651, 318039.4529 175820.3666, 318117.7001 175822.931, 318256.6405 175827.2336, 318263.8602 175827.3622))"
CRDFCEN_7,CRDFCEN,7,1995-01-01,0,False,True,101233,140,101233140,318151.9366877908,175815.0252632592,2,"POLYGON ((318257.1736 175817.1912, 318236.6227 175814.8746, 318217.5764 175813.2457, 318191.071 175812.1486, 318151.735 175811.4809, 318117.5385 175812.4771, 318076.0107 175814.6041, 318039.3563 175816.5304, 318039.4083 175818.4651, 318121.879 175818.4363, 318191.1007 175818.7335, 318226.3119 175819.9351, 318227.9483 175820.1757, 318228.0531 175818.0605, 318232.4192 175818.2794, 318232.3202 175820.3278, 318239.9596 175820.6387, 318240.0697 175818.8459, 318244.7562 175819.1265, 318244.649 175821.0971, 318264.1538 175822.7299, 318264.4245 175818.3983, 318257.1736 175817.1912))"
CRDFCEN_8,CRDFCEN,8,2016-11-12,0,False,False,101233,151,101233151,318170.46169219713,175803.64059381338,2,"POLYGON ((318089.3142 175807.7485, 318089.1463 175803.3683, 318123.3657 175801.6374, 318143.4464 175801.0689, 318143.4374 175803.0937, 318153.8452 175803.1929, 318153.8945 175801.0785, 318164.6547 175801.4947, 318176.2383 175801.7085, 318196.5515 175801.7706, 318196.5137 175802.8725, 318203.5279 175803.1822, 318203.4266 175805.9537, 318207.6752 175806.2079, 318209.1844 175806.3171, 318211.0761 175806.4535, 318233.095 175808.0456, 318234.479 175808.1457, 318236.1481 175808.2634, 318240.4293 175805.369, 318251.7312 175806.6443, 318251.2232 175810.468, 318236.3634 175808.6938, 318207.5616 175806.9217, 318175.3652 175805.7272, 318150.0683 175805.4786, 318117.8966 175806.253, 318089.3142 175807.7485))"
CRDFW_UR2,CRDFW,UR2,2006-11-06,0,False,False,101227,324,101227324,318170.04248898075,175860.0379476539,1,"POLYGON ((318290.0617 175860.5238, 318308.4225 175861.4409, 318323.0828 175862.9182, 318322.8807 175868.0607, 318241.6564 175865.1962, 318241.6826 175863.3715, 318236.652 175863.2967, 318236.6148 175865.2996, 318231.1661 175865.1426, 318231.2399 175863.2504, 318226.694 175863.0788, 318226.6141 175865.0157, 318224.3669 175864.8072, 318191.7183 175863.9759, 318118.6626 175861.5157, 318086.8768 175859.9147, 318049.7378 175856.3313, 318017.1117 175854.3216, 318017.1456 175852.5523, 318097.6348 175854.6019, 318290.0617 175860.5238))"
CREDITN_1,CREDITN,1,1999-01-01,0,False,False,100855,7,100855007,283996.0892557819,99487.44399840239,2,"POLYGON ((283929.0511 99496.6429, 283929.163 99500.078, 283929.2087 99501.1783, 283950.0497 99498.9783, 283964.1644 99496.8615, 283974.9764 99494.9741, 283981.3197 99493.52, 284002.7208 99488.2817, 284005.6188 99489.5188, 284004.7939 99485.7324, 284021.492 99482.1231, 284022.2625 99485.6882, 284026.3219 99485.5533, 284025.2484 99480.7379, 284037.2002 99478.0909, 284037.5451 99479.6407, 284039.0394 99479.2848, 284056.5722 99475.1564, 284062.7995 99473.5604, 284062.2614 99470.3017, 284062.1796 99469.7918, 284048.0455 99472.9433, 284029.3375 99477.1869, 284020.9081 99479.3438, 284004.2079 99482.853, 284001.2683 99483.8641, 283979.1528 99488.6956, 283962.5801 99491.9129, 283946.9366 99494.4197, 283929.0511 99496.6429))"
CREDITN_2,CREDITN,2,1999-01-01,0,False,False,100855,70,100855070,284007.84692741535,99473.2675155842,2,"POLYGON ((283929.5252 99489.4345, 283945.0573 99487.9424, 283954.2272 99486.7368, 283963.1941 99484.9684, 283984.2755 99481.2056, 284004.0693 99476.9488, 284024.8765 99471.9575, 284039.8763 99468.0968, 284057.1878 99464.1625, 284074.1745 99460.5247, 284080.2369 99458.8099, 284086.1255 99456.8877, 284085.2686 99453.8809, 284057.2281 99460.902, 284027.6966 99467.4781, 284027.5913 99465.6003, 284026.4477 99465.8705, 284001.0923 99472.1647, 284001.7145 99475.0878, 283997.3206 99476.0312, 283989.7814 99477.6231, 283989.23 99475.0322, 283978.7725 99477.9574, 283965.3495 99481.0489, 283952.4454 99483.3723, 283940.4813 99484.5178, 283929.3667 99485.4887, 283929.434 99486.6108, 283929.5252 99489.4345))"
CREWE_1,CREWE,1,1995-01-01,0,False,True,102122,7,102122007,371186.9624986433,354627.84100607265,2,"POLYGON ((371234.257 354463.7566, 371231.7862 354475.0077, 371226.9238 354495.0953, 371223.174 354509.7361, 371218.0485 354528.379, 371212.949 354544.6745, 371206.2507 354563.5049, 371183.539 354632.5166, 371166.0757 354683.2183, 371155.8717 354713.729, 371151.885 354725.6679, 371151.3718 354727.1951, 371145.1644 354725.1967, 371139.7001 354741.9951, 371148.0956 354744.7701, 371140.6166 354768.4336, 371135.279 354784.0186, 371133.1309 354789.8611, 371135.0711 354790.6281, 371137.3504 354784.3287, 371145.8877 354757.3658, 371149.76 354745.3274, 371153.7899 354732.7875, 371169.6776 354685.1991, 371188.7108 354628.2579, 371215.3176 354545.3833, 371220.6549 354528.5302, 371225.3477 354510.3349, 371229.1478 354494.0362, 371233.655 354475.0187, 371236.1281 354464.1569, 371234.257 354463.7566))"
CREWE_10,CREWE,10,1995-01-01,82,False,True,102122,8,102122008,371048.3617214664,354868.95557000954,2,"POLYGON ((371034.6402 354917.5154, 371032.4872 354916.9945, 371042.4487 354875.4045, 371048.436 354854.3642, 371053.0306 354841.1088, 371060.3146 354819.6268, 371071.0661 354823.2775, 371067.5709 354833.389, 371064.934 354832.5928, 371055.3483 354861.0752, 371048.5649 354880.0622, 371044.4867 354892.3021, 371034.6402 354917.5154))"
CREWE_11,CREWE,11,1995-01-01,0,False,True,102122,15,102122015,371078.29670599673,354755.97011685726,2,"POLYGON ((371030.1128 354916.4081, 371032.4872 354916.9945, 371042.4487 354875.4045, 371048.436 354854.3642, 371053.0306 354841.1088, 371060.3146 354819.6268, 371072.7708 354782.9057, 371078.0091 354767.5438, 371077.056 354767.2047, 371091.7882 354725.8307, 371097.9059 354707.4486, 371101.5903 354708.6723, 371118.4395 354658.4413, 371130.3297 354629.9006, 371135.2503 354618.4344, 371141.9359 354600.8833, 371140.1065 354600.7386, 371127.2497 354628.9513, 371114.1664 354657.3435, 371110.5113 354665.4201, 371104.9331 354677.758, 371097.6497 354693.8888, 371096.0041 354697.5477, 371091.3748 354710.6253, 371083.6377 354733.6675, 371075.8837 354754.9965, 371067.6715 354778.0861, 371053.3597 354818.0447, 371047.355 354837.3162, 371041.9202 354858.9093, 371035.9665 354886.6021, 371030.1128 354916.4081))"
