route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NA00280_route,SW,SW_NA00280,,,2,,,
NA00281_route,SW,SW_NA00281,,,2,,,
NA00282_route,SW,SW_NA00282,,,2,,,
NA00283_route,SW,SW_NA00283,,,2,,,
NA00284_route,SW,SW_NA00284,,,2,,,
NA00285_route,SW,SW_NA00285,,,2,,,
NA00286_route,SW,SW_NA00286,,,2,,,
NA00287_route,SW,SW_NA00287,,,2,,,
NA00288_route,SW,SW_NA00288,,,2,,,
NA00289_route,SW,SW_NA00289,,,2,,,
NA00290_route,SW,SW_NA00290,,,2,,,
NA00291_route,SW,SW_NA00291,,,2,,,
NA00292_route,SW,SW_NA00292,,,2,,,
NA00293_route,SW,SW_NA00293,,,2,,,
NA00294_route,SW,SW_NA00294,,,2,,,
NA00295_route,SW,SW_NA00295,,,2,,,
NA00296_route,SW,SW_NA00296,,,2,,,
NA00297_route,SW,SW_NA00297,,,2,,,
NA00298_route,SW,SW_NA00298,,,2,,,
NA00299_route,SW,SW_NA00299,,,2,,,
NA00300_route,SW,SW_NA00300,,,2,,,
NA00301_route,SW,SW_NA00301,,,2,,,
NA00302_route,SW,SW_NA00302,,,2,,,
NA00303_route,SW,SW_NA00303,,,2,,,
NA00304_route,SW,SW_NA00304,,,2,,,
NA00305_route,SW,SW_NA00305,,,2,,,
NA00306_route,SW,SW_NA00306,,,2,,,
NA00307_route,SW,SW_NA00307,,,2,,,
NA00308_route,SW,SW_NA00308,,,2,,,
NA00309_route,SW,SW_NA00309,,,2,,,
NA00310_route,SW,SW_NA00310,,,2,,,
NA00311_route,SW,SW_NA00311,,,2,,,
NA00312_route,SW,SW_NA00312,,,2,,,
NA00313_route,SR,SR_NA00313,,,2,,,
NA00314_route,SR,SR_NA00314,,,2,,,
NA00315_route,GR,GR_NA00315,,,2,,,
NA00316_route,GW,GW_NA00316,,,2,,,
NA00317_route,SR,SR_NA00317,,,2,,,
NA00318_route,GR,GR_NA00318,,,2,,,
NA00319_route,GW,GW_NA00319,,,2,,,
NA00320_route,SR,SR_NA00320,,,2,,,
NA00321_route,SR,SR_NA00321,,,2,,,
NA00322_route,SW,SW_NA00322,,,2,,,
NA00323_route,GW,GW_NA00323,,,2,,,
NA00324_route,TL,TL_NA00324,,,2,,,
NA00325_route,SR,SR_NA00325,,,2,,,
NA00326_route,SR,SR_NA00326,,,2,,,
NA00327_route,LE,LE_NA00327,,,2,,,
NA00328_route,GR,GR_NA00328,,,2,,,
NA00329_route,GW,GW_NA00329,,,2,,,
NA00330_route,SR,SR_NA00330,,,2,,,
NA00331_route,SR,SR_NA00331,,,2,,,
NA00332_route,SW,SW_NA00332,,,2,,,
NA00333_route,GW,GW_NA00333,,,2,,,
NA00334_route,TL,TL_NA00334,,,2,,,
NA00335_route,GR,GR_NA00335,,,2,,,
NA00336_route,GW,GW_NA00336,,,2,,,
NA00337_route,SR,SR_NA00337,,,2,,,
NA00338_route,SW,SW_NA00338,,,2,,,
NA00339_route,GR,GR_NA00339,,,2,,,
NA00340_route,GW,GW_NA00340,,,2,,,
NA00341_route,TL,TL_NA00341,,,2,,,
NA00342_route,SR,SR_NA00342,,,2,,,
NA00343_route,SR,SR_NA00343,,,2,,,
NA00344_route,SR,SR_NA00344,,,2,,,
NA00345_route,SR,SR_NA00345,,,2,,,
NA00346_route,SW,SW_NA00346,,,2,,,
NA00347_route,GR,GR_NA00347,,,2,,,
NA00348_route,GW,GW_NA00348,,,2,,,
NA00349_route,TL,TL_NA00349,,,2,,,
NA00350_route,SR,SR_NA00350,,,2,,,
NA00351_route,SR,SR_NA00351,,,2,,,
NA00352_route,SR,SR_NA00352,,,2,,,
NA00353_route,GW,GW_NA00353,,,2,,,
NA00354_route,SR,SR_NA00354,,,2,,,
NA00355_route,SW,SW_NA00355,,,2,,,
NA00356_route,GW,GW_NA00356,,,2,,,
NA00357_route,VT,VT_NA00357,,,2,,,
NA00358_route,TL,TL_NA00358,,,2,,,
NA00359_route,SR,SR_NA00359,,,2,,,
NA00360_route,SW,SW_NA00360,,,2,,,
NA00361_route,SE,SE_NA00361,,,2,,,
NA00362_route,GR,GR_NA00362,,,2,,,
NA00363_route,AW,AW_NA00363,,,2,,,
NA00364_route,GW,GW_NA00364,,,2,,,
NA00365_route,VT,VT_NA00365,,,2,,,
NA00366_route,SR,SR_NA00366,,,2,,,
NA00367_route,SR,SR_NA00367,,,2,,,
NA00368_route,SW,SW_NA00368,,,2,,,
NA00369_route,GR,GR_NA00369,,,2,,,
NA00370_route,GW,GW_NA00370,,,2,,,
NA00371_route,VT,VT_NA00371,,,2,,,
NA00372_route,TL,TL_NA00372,,,2,,,
NA00373_route,SR,SR_NA00373,,,2,,,
NA00374_route,SR,SR_NA00374,,,2,,,
NA00375_route,SR,SR_NA00375,,,2,,,
NA00376_route,SW,SW_NA00376,,,2,,,
NA00377_route,GW,GW_NA00377,,,2,,,
NA00378_route,VT,VT_NA00378,,,2,,,
NA00379_route,SR,SR_NA00379,,,2,,,
NA00380_route,SR,SR_NA00380,,,2,,,
NA00381_route,SW,SW_NA00381,,,2,,,
NA00382_route,GR,GR_NA00382,,,2,,,
NA00383_route,GW,GW_NA00383,,,2,,,
NA00384_route,VT,VT_NA00384,,,2,,,
NA00385_route,TL,TL_NA00385,,,2,,,
NA00386_route,SR,SR_NA00386,,,2,,,
NA00387_route,SR,SR_NA00387,,,2,,,
NA00388_route,SW,SW_NA00388,,,2,,,
NA00389_route,GW,GW_NA00389,,,2,,,
NA00390_route,VT,VT_NA00390,,,2,,,
NA00391_route,LE,LE_NA00391,,,2,,,
NA00392_route,TL,TL_NA00392,,,2,,,
NA00393_route,SR,SR_NA00393,,,2,,,
NA00394_route,SR,SR_NA00394,,,2,,,
NA00395_route,SW,SW_NA00395,,,2,,,
NA00396_route,GW,GW_NA00396,,,2,,,
NA00397_route,VT,VT_NA00397,,,2,,,
NA00398_route,TL,TL_NA00398,,,2,,,
NA00399_route,SW,SW_NA00399,,,2,,,
NA00400_route,GR,GR_NA00400,,,2,,,
NA00401_route,GW,GW_NA00401,,,2,,,
NA00402_route,VT,VT_NA00402,,,2,,,
NA00403_route,TL,TL_NA00403,,,2,,,
NA00404_route,SR,SR_NA00404,,,2,,,
NA00405_route,SW,SW_NA00405,,,2,,,
NA00406_route,GR,GR_NA00406,,,2,,,
NA00407_route,GW,GW_NA00407,,,2,,,
NA00408_route,VT,VT_NA00408,,,2,,,
NA00409_route,TL,TL_NA00409,,,2,,,
NA00410_route,SR,SR_NA00410,,,2,,,
NA00411_route,SR,SR_NA00411,,,2,,,
NA00412_route,SW,SW_NA00412,,,2,,,
NA00413_route,GR,GR_NA00413,,,2,,,
NA00414_route,GW,GW_NA00414,,,2,,,
NA00415_route,VT,VT_NA00415,,,2,,,
NA00416_route,TL,TL_NA00416,,,2,,,
NA00417_route,SR,SR_NA00417,,,2,,,
NA00418_route,SR,SR_NA00418,,,2,,,
NA00419_route,SW,SW_NA00419,,,2,,,
NA00420_route,GW,GW_NA00420,,,2,,,
NA00421_route,VT,VT_NA00421,,,2,,,
NA00422_route,TL,TL_NA00422,,,2,,,
NA00423_route,SR,SR_NA00423,,,2,,,
NA00424_route,SR,SR_NA00424,,,2,,,
NA00425_route,SW,SW_NA00425,,,2,,,
NA00426_route,GR,GR_NA00426,,,2,,,
NA00427_route,GW,GW_NA00427,,,2,,,
NA00428_route,VT,VT_NA00428,,,2,,,
NA00429_route,TL,TL_NA00429,,,2,,,
NA00430_route,SR,SR_NA00430,,,2,,,
NA00431_route,SR,SR_NA00431,,,2,,,
NA00432_route,SW,SW_NA00432,,,2,,,
NA00433_route,GW,GW_NA00433,,,2,,,
NA00434_route,VT,VT_NA00434,,,2,,,
NA00435_route,TL,TL_NA00435,,,2,,,
NA00436_route,SR,SR_NA00436,,,2,,,
NA00437_route,SW,SW_NA00437,,,2,,,
NA00438_route,GW,GW_NA00438,,,2,,,
NA00439_route,VT,VT_NA00439,,,2,,,
NA00440_route,TL,TL_NA00440,,,2,,,
NA00441_route,SW,SW_NA00441,,,2,,,
NA00442_route,GR,GR_NA00442,,,2,,,
NA00443_route,GW,GW_NA00443,,,2,,,
NA00444_route,VT,VT_NA00444,,,2,,,
NA00445_route,TL,TL_NA00445,,,2,,,
NA00446_route,SW,SW_NA00446,,,2,,,
NA00447_route,GR,GR_NA00447,,,2,,,
NA00448_route,GW,GW_NA00448,,,2,,,
NA00449_route,VT,VT_NA00449,,,2,,,
NA00450_route,TL,TL_NA00450,,,2,,,
NA00451_route,SW,SW_NA00451,,,2,,,
NA00452_route,LE,LE_NA00452,,,2,,,
NA00453_route,GW,GW_NA00453,,,2,,,
NA00454_route,VT,VT_NA00454,,,2,,,
NA00455_route,TL,TL_NA00455,,,2,,,
NA00456_route,SW,SW_NA00456,,,2,,,
NA00457_route,GR,GR_NA00457,,,2,,,
NA00458_route,GW,GW_NA00458,,,2,,,
NA00459_route,VT,VT_NA00459,,,2,,,
NA00460_route,TL,TL_NA00460,,,2,,,
NA00461_route,SW,SW_NA00461,,,2,,,
NA00462_route,GR,GR_NA00462,,,2,,,
NA00463_route,GW,GW_NA00463,,,2,,,
NA00464_route,VT,VT_NA00464,,,2,,,
NA00465_route,TL,TL_NA00465,,,2,,,
NA00466_route,SW,SW_NA00466,,,2,,,
NA00467_route,GR,GR_NA00467,,,2,,,
NA00468_route,GW,GW_NA00468,,,2,,,
NA00469_route,VT,VT_NA00469,,,2,,,
NA00470_route,TL,TL_NA00470,,,2,,,
NA00471_route,SW,SW_NA00471,,,2,,,
NA00472_route,GR,GR_NA00472,,,2,,,
