service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NA00162_service,1,1,1,1,1,1,0,20000101,20991231
NA00163_service,1,1,1,1,1,1,0,20000101,20991231
NA00164_service,1,1,1,1,1,1,0,20000101,20991231
NA00165_service,1,1,1,1,1,1,0,20000101,20991231
NA00166_service,1,1,1,1,1,1,0,20000101,20991231
NA00167_service,1,1,1,1,1,1,0,20000101,20991231
NA00168_service,1,1,1,1,1,1,0,20000101,20991231
NA00169_service,1,1,1,1,1,1,0,20000101,20991231
NA00170_service,1,1,1,1,1,1,0,20000101,20991231
NA00171_service,1,1,1,1,1,1,0,20000101,20991231
NA00172_service,1,1,1,1,1,1,0,20000101,20991231
NA00173_service,1,1,1,1,1,1,0,20000101,20991231
NA00174_service,1,1,1,1,1,1,0,20000101,20991231
NA00175_service,1,1,1,1,1,1,0,20000101,20991231
NA00176_service,1,1,1,1,1,1,0,20000101,20991231
NA00177_service,1,1,1,1,1,1,0,20000101,20991231
NA00178_service,1,1,1,1,1,1,0,20000101,20991231
NA00179_service,1,1,1,1,1,1,0,20000101,20991231
NA00180_service,1,1,1,1,1,1,0,20000101,20991231
NA00181_service,1,1,1,1,1,1,0,20000101,20991231
NA00182_service,1,1,1,1,1,1,0,20000101,20991231
NA00183_service,1,1,1,1,1,1,0,20000101,20991231
NA00184_service,1,1,1,1,1,1,0,20000101,20991231
NA00185_service,1,1,1,1,1,1,0,20000101,20991231
NA00186_service,1,1,1,1,1,1,0,20000101,20991231
NA00187_service,1,1,1,1,1,1,0,20000101,20991231
NA00188_service,1,1,1,1,1,1,0,20000101,20991231
NA00189_service,1,1,1,1,1,1,0,20000101,20991231
NA00190_service,1,1,1,1,1,1,0,20000101,20991231
NA00191_service,1,1,1,1,1,1,0,20000101,20991231
NA00192_service,1,1,1,1,1,1,0,20000101,20991231
NA00193_service,1,1,1,1,1,1,0,20000101,20991231
NA00194_service,1,1,1,1,1,1,0,20000101,20991231
NA00195_service,1,1,1,1,1,1,0,20000101,20991231
NA00196_service,1,1,1,1,1,1,0,20000101,20991231
NA00197_service,1,1,1,1,1,1,0,20000101,20991231
NA00198_service,1,1,1,1,1,1,0,20000101,20991231
NA00199_service,1,1,1,1,1,1,0,20000101,20991231
NA00200_service,1,1,1,1,1,1,0,20000101,20991231
NA00201_service,1,1,1,1,1,1,0,20000101,20991231
NA00202_service,1,1,1,1,1,1,0,20000101,20991231
NA00203_service,1,1,1,1,1,1,0,20000101,20991231
NA00204_service,1,1,1,1,1,1,0,20000101,20991231
NA00205_service,1,1,1,1,1,1,0,20000101,20991231
NA00206_service,1,1,1,1,1,1,0,20000101,20991231
NA00207_service,1,1,1,1,1,1,0,20000101,20991231
NA00208_service,1,1,1,1,1,1,0,20000101,20991231
NA00209_service,1,1,1,1,1,1,0,20000101,20991231
NA00210_service,1,1,1,1,1,1,0,20000101,20991231
NA00211_service,1,1,1,1,1,1,0,20000101,20991231
NA00212_service,1,1,1,1,1,1,0,20000101,20991231
NA00213_service,1,1,1,1,1,1,0,20000101,20991231
NA00214_service,1,1,1,1,1,1,0,20000101,20991231
NA00215_service,1,1,1,1,1,1,0,20000101,20991231
NA00216_service,1,1,1,1,1,1,0,20000101,20991231
NA00217_service,1,1,1,1,1,1,0,20000101,20991231
NA00218_service,1,1,1,1,1,1,0,20000101,20991231
NA00219_service,1,1,1,1,1,1,0,20000101,20991231
NA00220_service,1,1,1,1,1,1,0,20000101,20991231
NA00221_service,1,1,1,1,1,1,0,20000101,20991231
NA00222_service,1,1,1,1,1,1,0,20000101,20991231
NA00223_service,1,1,1,1,1,1,0,20000101,20991231
NA00224_service,1,1,1,1,1,1,0,20000101,20991231
NA00225_service,1,1,1,1,1,1,0,20000101,20991231
NA00226_service,1,1,1,1,1,1,0,20000101,20991231
NA00227_service,1,1,1,1,1,1,0,20000101,20991231
NA00228_service,1,1,1,1,1,1,0,20000101,20991231
NA00229_service,1,1,1,1,1,1,0,20000101,20991231
NA00230_service,1,1,1,1,1,1,0,20000101,20991231
