FromCRS,ToCRS,TravelTime,TSys
CHX,BAL,24.83333333,PuT-Aux
EUS,BAL,32.7965858,PuT-Aux
FST,BAL,48.02275986,PuT-Aux
LOF,BAL,47.24152778,PuT-Aux
KGX,BAL,42.13472222,PuT-Aux
LST,BAL,30.40550265,PuT-Aux
MYB,BAL,34.80606576,PuT-Aux
PAD,BAL,37.32682709,PuT-Aux
STP,BAL,45.63462532,PuT-Aux
VIC,BAL,19.04705882,PuT-Aux
WAT,BAL,22.05294118,PuT-Aux
WAE,BAL,40.58650794,PuT-Aux
MOG,BAL,30.02811355,PuT-Aux
NXG,BAL,37.69918301,PuT-Aux
NWD,BAL,45.8889881,PuT-Aux
OLD,BAL,28.57559853,PuT-Aux
PMR,BAL,32.01752137,PuT-Aux
PNE,BAL,37.56474359,PuT-Aux
PUT,BAL,37.65321637,PuT-Aux
QRP,BAL,37.2593633,PuT-Aux
REC,BAL,48.4591954,PuT-Aux
RMD,BAL,55.30523504,PuT-Aux
RIC,BAL,76.55907173,PuT-Aux
RMF,BAL,57.29255952,PuT-Aux
SVS,BAL,36.10528233,PuT-Aux
SPB,BAL,42.33836657,PuT-Aux
SLV,BAL,52.89695122,PuT-Aux
SOH,BAL,45.6981982,PuT-Aux
SRU,BAL,64.33660886,PuT-Aux
SBU,BAL,58.02692308,PuT-Aux
SMH,BAL,47.6748996,PuT-Aux
SKW,BAL,48.3751004,PuT-Aux
SRA,BAL,38.12752902,PuT-Aux
SFA,BAL,43.01764706,PuT-Aux
SYD,BAL,47.5745098,PuT-Aux
TEO,BAL,63.16025641,PuT-Aux
TOM,BAL,39.02243948,PuT-Aux
TUR,BAL,60.77692308,PuT-Aux
UPM,BAL,68.60153509,PuT-Aux
VXH,BAL,14.49823633,PuT-Aux
WWR,BAL,24.59259259,PuT-Aux
WNP,BAL,67.01814346,PuT-Aux
WFJ,BAL,62.80634921,PuT-Aux
WMB,BAL,57.37026515,PuT-Aux
WBP,BAL,40.41936937,PuT-Aux
WCY,BAL,54.84617486,PuT-Aux
WEH,BAL,38.51235294,PuT-Aux
WHD,BAL,38.91661918,PuT-Aux
WHL,BAL,52.33028455,PuT-Aux
WIJ,BAL,51.55879346,PuT-Aux
WIM,BAL,45.9065812,PuT-Aux
WGR,BAL,69.04711934,PuT-Aux
WWA,BAL,52.85762852,PuT-Aux
AMR,BKG,96.34285714,PuT-Aux
ANY,BKG,51.34583333,PuT-Aux
BAL,BKG,52.53136315,PuT-Aux
BAK,BKG,57.94885057,PuT-Aux
BET,BKG,41.09468599,PuT-Aux
BRX,BKG,51.65985507,PuT-Aux
BCY,BKG,39.74616977,PuT-Aux
BCV,BKG,42.25555556,PuT-Aux
BSH,BKG,83.34083333,PuT-Aux
CBH,BKG,47.16613333,PuT-Aux
CPK,BKG,94.52179487,PuT-Aux
CFO,BKG,93.53536585,PuT-Aux
CHN,BKG,60.44711111,PuT-Aux
CLW,BKG,90.03536585,PuT-Aux
CTK,BKG,43.95454545,PuT-Aux
CLJ,BKG,57.39433221,PuT-Aux
