TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
SDON_2,SDON,2,1995-01-01,0,False,False,104910,70,104910070,414865.0138551117,185177.2357064702,2,"POLYGON ((414905.0033 185202.9501, 414906.3278 185200.407, 414848.101 185165.148, 414825.3914 185151.3911, 414823.6515 185153.7883, 414831.8287 185159.284, 414857.4176 185174.5397, 414905.0033 185202.9501))"
SDON_3,SDON,3,1995-01-01,0,False,True,104910,90,104910090,414980.64743971045,185237.76046042453,2,"POLYGON ((414848.101 185165.148, 414906.3278 185200.407, 415018.0612 185265.2633, 415039.0387 185276.0798, 415064.4651 185287.2655, 415114.7546 185307.7337, 415115.6332 185305.9679, 415084.4922 185288.8927, 415054.2679 185273.4777, 415040.0402 185265.5281, 415024.9542 185257.1646, 415002.1391 185244.1962, 414984.8321 185234.4138, 414972.1553 185226.9805, 414917.8979 185195.1913, 414887.465 185177.2964, 414867.7647 185165.6167, 414852.8252 185156.7202, 414848.101 185165.148))"
SDON_4,SDON,4,2003-05-18,0,False,False,104910,104,104910104,414991.3221439265,185220.83349737685,2,"POLYGON ((414854.3382 185144.1347, 414856.1503 185140.7367, 414880.7146 185155.5224, 414926.7667 185182.1935, 414959.6304 185200.7964, 415016.1699 185231.9366, 415072.7086 185263.0775, 415122.8121 185290.2739, 415124.8804 185286.9991, 415131.9527 185290.9461, 415129.6248 185295.2433, 415127.0509 185293.6898, 415124.9388 185297.7096, 415063.2936 185263.7726, 414978.3907 185216.1773, 414854.3382 185144.1347))"
SEAHAM_1,SEAHAM,1,2012-12-09,0,True,False,105893,7,105893007,442052.0656681613,549603.1078864369,2,"LINESTRING (442014.747 549651.571, 442082.9426 549563.0102, 442089.3858 549554.6459)"
SEAHAM_2,SEAHAM,2,2012-12-09,0,True,False,105893,70,105893070,442044.6830197282,549597.681730237,2,"LINESTRING (442082.4166 549549.1501, 442074.6209 549558.6036, 442058.038 549580.506, 442006.9481 549646.2123)"
SELBY_1,SELBY,1,1995-01-01,0,False,True,106957,7,106957007,461788.16460312303,432226.1804946581,2,"POLYGON ((461750.2691 432121.4331, 461792.0563 432228.0507, 461796.8332 432239.6195, 461802.3624 432253.1121, 461806.2201 432261.4195, 461814.2559 432278.7174, 461827.1105 432301.8985, 461841.4056 432323.7745, 461839.1873 432325.0805, 461816.4442 432294.18, 461806.1783 432275.0835, 461784.8611 432225.964, 461786.6864 432224.9755, 461747.512 432122.6097, 461750.2691 432121.4331))"
SELMSAL_1,SELMSAL,1,1999-01-01,0,False,False,106190,7,106190007,447387.67009847483,411165.3972238803,2,"POLYGON ((447346.5718 411183.0996, 447347.0942 411183.8058, 447375.0184 411172.7702, 447375.4314 411173.8313, 447382.5942 411171.0993, 447382.0716 411169.7478, 447404.086 411161.2566, 447404.596 411159.9043, 447429.3247 411150.0609, 447428.5672 411147.0602, 447401.9057 411157.563, 447378.633 411166.7759, 447345.3762 411180.2058, 447346.5718 411183.0996))"
SELMSAL_2,SELMSAL,2,1999-01-01,0,False,False,106190,70,106190070,447368.3708605492,411162.12100648985,2,"POLYGON ((447323.8014 411181.8366, 447322.3108 411178.0053, 447355.1415 411165.4721, 447354.7819 411164.367, 447360.0492 411162.5395, 447361.3841 411162.0967, 447361.704 411162.5449, 447363.4375 411161.9504, 447392.3823 411150.1462, 447412.9686 411143.4878, 447414.4563 411146.2844, 447405.1584 411150.0408, 447374.3128 411161.9482, 447344.8203 411173.5911, 447323.8014 411181.8366))"
SETNCRW_1,SETNCRW,1,2012-12-09,0,True,False,106435,7,106435007,451682.4718372044,529528.7152139106,2,"LINESTRING (451691.9858 529590.6923, 451685.0486 529542.6376, 451671.0626 529467.0705)"
SETNCRW_2,SETNCRW,2,2012-12-09,0,True,False,106435,70,106435070,451672.28739396227,529530.3429693343,2,"LINESTRING (451661.7785 529468.7343, 451671.4108 529524.9213, 451674.0751 529541.3998, 451682.0665 529592.0707)"
