TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality
DENT_1,DENT,1,1995-01-01,0,False,False,12200,7,12200007,376419.5326813551,487494.1605851199,2
DENT_2,DENT,2,1995-01-01,0,False,False,12200,70,12200070,376430.0983332334,487500.05538156733,2
DEPDENE_1,DEPDENE,1,2011-05-22,0,False,False,14467,7,14467007,517107.3876413513,150190.84364795114,2
DEPDENE_2,DEPDENE,2,2011-05-22,0,False,False,14467,70,14467070,517109.3825740851,150182.10559266142,2
DERBYRD_1,DERBYRD,1,2019-12-15,0,False,False,15852,7,15852007,618324.8432639843,243894.81073047675,2
DERBYRD_2,DERBYRD,2,2019-12-15,0,False,False,15852,70,15852070,618333.4430926298,243901.78046409466,2
DEVNPRT_1,DEVNPRT,1,1999-01-01,0,False,False,10354,7,10354007,245833.14878745636,55429.987560295674,2
DEVNPRT_2,DEVNPRT,2,1999-01-01,0,False,False,10354,70,10354070,245793.31368354626,55435.35403490516,2
DIDCOTP_1,DIDCOTP,1,1995-01-01,0,False,True,13569,7,13569007,452523.48163679946,190524.30202917842,2
DIDCOTP_2,DIDCOTP,2,1995-01-01,0,False,True,13569,70,13569070,452545.644266305,190527.9436697999,2
DIDCOTP_3,DIDCOTP,3,1995-01-01,0,False,True,13569,90,13569090,452591.51831408485,190510.7156290568,2
DIDCOTP_4,DIDCOTP,4,1995-01-01,0,False,True,13569,104,13569104,452589.51948555664,190525.8894027975,2
DIDCOTP_5,DIDCOTP,5,1995-01-01,0,False,True,13569,117,13569117,452591.85584269237,190529.79102842504,2
DILTONM_1,DILTONM,1,1999-01-01,0,False,False,12342,7,12342007,385569.6519400112,150057.9942710888,2
DILTONM_2,DILTONM,2,1999-01-01,0,False,False,12342,70,12342070,385614.78581595235,149924.96423834388,2
DINGWAL_1,DINGWAL,1,2011-05-22,0,False,False,10442,7,10442007,255324.76233429147,858640.5488502289,2
DINGWAL_2,DINGWAL,2,2011-05-22,0,False,False,10442,70,10442070,255326.85917070854,858607.6408960426,2
DINSDAL_1,DINSDAL,1,2012-09-12,0,True,False,13161,7,13161007,434588.9307865977,513424.70843707875,2
DINSDAL_2,DINSDAL,2,2012-09-12,0,True,False,13161,70,13161070,434584.8938226762,513434.095525302,2
DISLEY_1,DISLEY,1,1995-01-01,0,False,False,12576,7,12576007,397249.41468493815,384594.21356033115,2
DISLEY_2,DISLEY,2,1995-01-01,0,False,False,12576,70,12576070,397257.9041166099,384587.6308615824,2
