route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NC41427230521231203_route,XR,XR_NC41427230521231203,,,2,,,
NC41430230521231203_route,XR,XR_NC41430230521231203,,,2,,,
NC41431230521231203_route,XR,XR_NC41431230521231203,,,2,,,
NC41432230521231203_route,XR,XR_NC41432230521231203,,,2,,,
NC41437230521231203_route,XR,XR_NC41437230521231203,,,2,,,
NC41446230521231203_route,XR,XR_NC41446230521231203,,,2,,,
NC41448230521231203_route,XR,XR_NC41448230521231203,,,2,,,
NC41452230521231203_route,XR,XR_NC41452230521231203,,,2,,,
NC41457230521231203_route,XR,XR_NC41457230521231203,,,2,,,
NC41458230521231203_route,XR,XR_NC41458230521231203,,,2,,,
NC41463230521231203_route,XR,XR_NC41463230521231203,,,2,,,
NC41468230521231203_route,XR,XR_NC41468230521231203,,,2,,,
NC41471230521231203_route,XR,XR_NC41471230521231203,,,2,,,
NC41475230521231203_route,XR,XR_NC41475230521231203,,,2,,,
NC41477230521231203_route,XR,XR_NC41477230521231203,,,2,,,
NC41482230521231203_route,XR,XR_NC41482230521231203,,,2,,,
NC41483230521231203_route,XR,XR_NC41483230521231203,,,2,,,
NC41486230521231203_route,XR,XR_NC41486230521231203,,,2,,,
NC41493230521231203_route,XR,XR_NC41493230521231203,,,2,,,
NC41498230521231203_route,XR,XR_NC41498230521231203,,,2,,,
NC41504230521231203_route,XR,XR_NC41504230521231203,,,2,,,
NC41508230521231203_route,XR,XR_NC41508230521231203,,,2,,,
NC41515230521231203_route,XR,XR_NC41515230521231203,,,2,,,
NC41516230521231203_route,XR,XR_NC41516230521231203,,,2,,,
NC41519230521231203_route,XR,XR_NC41519230521231203,,,2,,,
NC41524230521231203_route,XR,XR_NC41524230521231203,,,2,,,
NC41527230521231203_route,XR,XR_NC41527230521231203,,,2,,,
NC41529230521231203_route,XR,XR_NC41529230521231203,,,2,,,
NC41535230521231203_route,XR,XR_NC41535230521231203,,,2,,,
NC41541230521231203_route,XR,XR_NC41541230521231203,,,2,,,
NC41542230521231203_route,XR,XR_NC41542230521231203,,,2,,,
NC41545230521231203_route,XR,XR_NC41545230521231203,,,2,,,
NC41548230521231203_route,XR,XR_NC41548230521231203,,,2,,,
NC41552230521231203_route,XR,XR_NC41552230521231203,,,2,,,
NC41558230521231203_route,XR,XR_NC41558230521231203,,,2,,,
NC41562230521231203_route,XR,XR_NC41562230521231203,,,2,,,
NC41566230521231203_route,XR,XR_NC41566230521231203,,,2,,,
NC41570230521231203_route,XR,XR_NC41570230521231203,,,2,,,
NC41572230521231203_route,XR,XR_NC41572230521231203,,,2,,,
NC41579230521231203_route,XR,XR_NC41579230521231203,,,2,,,
NC41583230521231203_route,XR,XR_NC41583230521231203,,,2,,,
NC41587230521231203_route,XR,XR_NC41587230521231203,,,2,,,
NC41591230521231203_route,XR,XR_NC41591230521231203,,,2,,,
NC41593230521231203_route,XR,XR_NC41593230521231203,,,2,,,
NC41597230521231203_route,XR,XR_NC41597230521231203,,,2,,,
NC41601230521231203_route,XR,XR_NC41601230521231203,,,2,,,
NC41602230521231203_route,XR,XR_NC41602230521231203,,,2,,,
NC41605230521231203_route,XR,XR_NC41605230521231203,,,2,,,
NC41609230521231203_route,XR,XR_NC41609230521231203,,,2,,,
NC41611230521231203_route,XR,XR_NC41611230521231203,,,2,,,
NC41615230521231203_route,XR,XR_NC41615230521231203,,,2,,,
NC41619230521231203_route,XR,XR_NC41619230521231203,,,2,,,
NC41620230521231203_route,XR,XR_NC41620230521231203,,,2,,,
NC41623230521231203_route,XR,XR_NC41623230521231203,,,2,,,
NC41627230521231203_route,XR,XR_NC41627230521231203,,,2,,,
NC41629230521231203_route,XR,XR_NC41629230521231203,,,2,,,
NC41633230521231203_route,XR,XR_NC41633230521231203,,,2,,,
NC41637230521231203_route,XR,XR_NC41637230521231203,,,2,,,
NC41638230521231203_route,XR,XR_NC41638230521231203,,,2,,,
NC41639230521231203_route,XR,XR_NC41639230521231203,,,2,,,
NC41641230521231203_route,XR,XR_NC41641230521231203,,,2,,,
NC41644230521231203_route,XR,XR_NC41644230521231203,,,2,,,
NC41647230521231203_route,XR,XR_NC41647230521231203,,,2,,,
NC41651230521231203_route,XR,XR_NC41651230521231203,,,2,,,
NC41653230521231203_route,XR,XR_NC41653230521231203,,,2,,,
NC41657230521231203_route,XR,XR_NC41657230521231203,,,2,,,
NC41659230521231203_route,XR,XR_NC41659230521231203,,,2,,,
NC41662230521231203_route,XR,XR_NC41662230521231203,,,2,,,
NC41664230521231203_route,XR,XR_NC41664230521231203,,,2,,,
NC41668230521231203_route,XR,XR_NC41668230521231203,,,2,,,
NC41671230521231203_route,XR,XR_NC41671230521231203,,,2,,,
NC41673230521231203_route,XR,XR_NC41673230521231203,,,2,,,
NC41677230521231203_route,XR,XR_NC41677230521231203,,,2,,,
NC41679230521231203_route,XR,XR_NC41679230521231203,,,2,,,
NC41682230521231203_route,XR,XR_NC41682230521231203,,,2,,,
NC41684230521231203_route,XR,XR_NC41684230521231203,,,2,,,
NC41686230521231203_route,XR,XR_NC41686230521231203,,,2,,,
NC41689230521231203_route,XR,XR_NC41689230521231203,,,2,,,
NC41690230521231203_route,XR,XR_NC41690230521231203,,,2,,,
NC41692230521231203_route,XR,XR_NC41692230521231203,,,2,,,
NC41696230521231203_route,XR,XR_NC41696230521231203,,,2,,,
NC41699230521231203_route,XR,XR_NC41699230521231203,,,2,,,
NC41701230521231203_route,XR,XR_NC41701230521231203,,,2,,,
NC41704230521231203_route,XR,XR_NC41704230521231203,,,2,,,
NC41706230521231203_route,XR,XR_NC41706230521231203,,,2,,,
NC41708230521231203_route,XR,XR_NC41708230521231203,,,2,,,
NC41712230521231203_route,XR,XR_NC41712230521231203,,,2,,,
NC41714230521231203_route,XR,XR_NC41714230521231203,,,2,,,
NC41717230521231203_route,XR,XR_NC41717230521231203,,,2,,,
NC41718230521231203_route,XR,XR_NC41718230521231203,,,2,,,
NC41720230521231203_route,XR,XR_NC41720230521231203,,,2,,,
NC41722230521231203_route,XR,XR_NC41722230521231203,,,2,,,
NC41724230521231203_route,XR,XR_NC41724230521231203,,,2,,,
NC41728230521231203_route,XR,XR_NC41728230521231203,,,2,,,
NC41731230521231203_route,XR,XR_NC41731230521231203,,,2,,,
NC41733230521231203_route,XR,XR_NC41733230521231203,,,2,,,
NC41735230521231203_route,XR,XR_NC41735230521231203,,,2,,,
NC41738230521231203_route,XR,XR_NC41738230521231203,,,2,,,
NC41740230521231203_route,XR,XR_NC41740230521231203,,,2,,,
NC41742230521231203_route,XR,XR_NC41742230521231203,,,2,,,
NC41745230521231203_route,XR,XR_NC41745230521231203,,,2,,,
NC41746230521231203_route,XR,XR_NC41746230521231203,,,2,,,
NC41748230521231203_route,XR,XR_NC41748230521231203,,,2,,,
NC41751230521231203_route,XR,XR_NC41751230521231203,,,2,,,
NC41753230521231203_route,XR,XR_NC41753230521231203,,,2,,,
NC41755230521231203_route,XR,XR_NC41755230521231203,,,2,,,
NC41757230521231203_route,XR,XR_NC41757230521231203,,,2,,,
NC41761230521231203_route,XR,XR_NC41761230521231203,,,2,,,
NC41763230521231203_route,XR,XR_NC41763230521231203,,,2,,,
NC41765230521231203_route,XR,XR_NC41765230521231203,,,2,,,
NC41768230521231203_route,XR,XR_NC41768230521231203,,,2,,,
NC41770230521231203_route,XR,XR_NC41770230521231203,,,2,,,
NC41772230521231203_route,XR,XR_NC41772230521231203,,,2,,,
NC41775230521231203_route,XR,XR_NC41775230521231203,,,2,,,
NC41776230521231203_route,XR,XR_NC41776230521231203,,,2,,,
NC41778230521231203_route,XR,XR_NC41778230521231203,,,2,,,
NC41781230521231203_route,XR,XR_NC41781230521231203,,,2,,,
NC41783230521231203_route,XR,XR_NC41783230521231203,,,2,,,
NC41786230521231203_route,XR,XR_NC41786230521231203,,,2,,,
NC41788230521231203_route,XR,XR_NC41788230521231203,,,2,,,
NC41792230521231203_route,XR,XR_NC41792230521231203,,,2,,,
NC41794230521231203_route,XR,XR_NC41794230521231203,,,2,,,
NC41796230521231203_route,XR,XR_NC41796230521231203,,,2,,,
NC41798230521231203_route,XR,XR_NC41798230521231203,,,2,,,
NC41800230521231203_route,XR,XR_NC41800230521231203,,,2,,,
NC41802230521231203_route,XR,XR_NC41802230521231203,,,2,,,
NC41804230521231203_route,XR,XR_NC41804230521231203,,,2,,,
NC41806230521231203_route,XR,XR_NC41806230521231203,,,2,,,
NC41809230521231203_route,XR,XR_NC41809230521231203,,,2,,,
NC41811230521231203_route,XR,XR_NC41811230521231203,,,2,,,
NC41813230521231203_route,XR,XR_NC41813230521231203,,,2,,,
NC41815230521231203_route,XR,XR_NC41815230521231203,,,2,,,
NC41818230521231203_route,XR,XR_NC41818230521231203,,,2,,,
NC41820230521231203_route,XR,XR_NC41820230521231203,,,2,,,
NC41822230521231203_route,XR,XR_NC41822230521231203,,,2,,,
NC41823230521231203_route,XR,XR_NC41823230521231203,,,2,,,
NC41825230521231203_route,XR,XR_NC41825230521231203,,,2,,,
NC41827230521231203_route,XR,XR_NC41827230521231203,,,2,,,
NC41829230521231203_route,XR,XR_NC41829230521231203,,,2,,,
NC41831230521231203_route,XR,XR_NC41831230521231203,,,2,,,
NC41833230521231203_route,XR,XR_NC41833230521231203,,,2,,,
NC41835230521231203_route,XR,XR_NC41835230521231203,,,2,,,
NC41837230521231203_route,XR,XR_NC41837230521231203,,,2,,,
NC41839230521231203_route,XR,XR_NC41839230521231203,,,2,,,
NC41842230521231203_route,XR,XR_NC41842230521231203,,,2,,,
NC41844230521231203_route,XR,XR_NC41844230521231203,,,2,,,
NC41846230521231203_route,XR,XR_NC41846230521231203,,,2,,,
NC41847230521231203_route,XR,XR_NC41847230521231203,,,2,,,
NC41849230521231203_route,XR,XR_NC41849230521231203,,,2,,,
NC41851230521231203_route,XR,XR_NC41851230521231203,,,2,,,
NC41853230521231203_route,XR,XR_NC41853230521231203,,,2,,,
NC41855230521231203_route,XR,XR_NC41855230521231203,,,2,,,
NC41857230521231203_route,XR,XR_NC41857230521231203,,,2,,,
NC41859230521231203_route,XR,XR_NC41859230521231203,,,2,,,
NC41861230521231203_route,XR,XR_NC41861230521231203,,,2,,,
NC41863230521231203_route,XR,XR_NC41863230521231203,,,2,,,
NC41866230521231203_route,XR,XR_NC41866230521231203,,,2,,,
NC41868230521231203_route,XR,XR_NC41868230521231203,,,2,,,
NC41870230521231203_route,XR,XR_NC41870230521231203,,,2,,,
NC41871230521231203_route,XR,XR_NC41871230521231203,,,2,,,
NC41873230521231203_route,XR,XR_NC41873230521231203,,,2,,,
NC41876230521231203_route,XR,XR_NC41876230521231203,,,2,,,
NC41878230521231203_route,XR,XR_NC41878230521231203,,,2,,,
NC41880230521231203_route,XR,XR_NC41880230521231203,,,2,,,
NC41883230521231203_route,XR,XR_NC41883230521231203,,,2,,,
NC41885230521231203_route,XR,XR_NC41885230521231203,,,2,,,
NC41887230521231203_route,XR,XR_NC41887230521231203,,,2,,,
NC41889230521231203_route,XR,XR_NC41889230521231203,,,2,,,
NC41891230521231203_route,XR,XR_NC41891230521231203,,,2,,,
NC41893230521231203_route,XR,XR_NC41893230521231203,,,2,,,
NC42101230521231203_route,XR,XR_NC42101230521231203,,,2,,,
