stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
110397000,BORWDNL,Platform Unknown,157347.6341,560086.6569,0,110397
110398000,LGFD,Platform Unknown,168855.8389,560126.5234,0,110398
110399000,DOWNHMR,Platform Unknown,303312.1157,560277.0793,0,110399
110400000,DOWNHAM,Platform Unknown,303391.7769,560301.9305,0,110400
110400007,DOWNHAM_1,Platform 1,303391.5711380049,560304.8336732683,0,110400
110400070,DOWNHAM_2,Platform 2,303386.1149317739,560300.3368051832,0,110400
110401000,DOWNDM8,Platform Unknown,303667.1402,560349.21,0,110401
110402000,EBSFWJN,Platform Unknown,175380.86,560525.4113,0,110402
110403000,WILDJN,Platform Unknown,102829.3915,560537.6349,0,110403
110404000,BORW303,Platform Unknown,157395.3417,560579.0672,0,110404
110405000,SWNSGD,Platform Unknown,174899.969,560701.005,0,110405
110406000,SWNSCMB,Platform Unknown,174756.1229,560736.1118,0,110406
110407000,FRANT,Platform Unknown,136330.293,560745.4263,0,110407
110408000,HMPDNPK,Platform Unknown,102080.3973,560753.0297,0,110408
110408007,HMPDNPK_1,Platform 1,102072.47849612533,560753.8810011955,0,110408
110408070,HMPDNPK_2,Platform 2,102078.06583020334,560756.1084492265,0,110408
110409000,GNHTRI,Platform Unknown,175126.7476,560832.9351,0,110409
110410000,BORWGAW,Platform Unknown,157414.2766,560842.2674,0,110410
110411000,HMP1380,Platform Unknown,101756.6048,560848.2136,0,110411
110412000,EBOURNE,Platform Unknown,99154.5094,560979.5645,0,110412
110412007,EBOURNE_1,Platform 1,99219.18043579305,561071.848348397,0,110412
110412059,EBOURNE_1F,Platform 1F,99218.95217227784,561071.5423879169,0,110412
110412070,EBOURNE_2,Platform 2,99218.72390876264,561071.2364274369,0,110412
110412079,EBOURNE_2F,Platform 2F,99218.49564524744,561070.9304669569,0,110412
110412090,EBOURNE_3,Platform 3,99218.90603656038,561083.3041595623,0,110412
110412094,EBOURNE_3F,Platform 3F,99218.62614834419,561082.9283845663,0,110412
110413000,SHENLEJ,Platform Unknown,194314.7466,561156.9009,0,110413
110414000,EBOUSID,Platform Unknown,99335.8638,561160.3282,0,110414
110414275,EBOUSID_S1,Platform S1,99218.26738173224,561070.6245064769,0,110414
110414276,EBOUSID_S2,Platform S2,99218.03911821703,561070.3185459968,0,110414
110414277,EBOUSID_S3,Platform S3,99218.34626012799,561082.5526095704,0,110414
110415000,EBOUOTM,Platform Unknown,99337.4716,561166.623,0,110415
110416000,WATLMR2,Platform Unknown,310790.2319,561188.8669,0,110416
110417000,SHENFUL,Platform Unknown,194474.1681,561189.117,0,110417
110418000,WATLGTN,Platform Unknown,311084.8715,561237.051,0,110418
110419000,SHENFDS,Platform Unknown,194894.4361,561244.0326,0,110419
110420000,GRAYS,Platform Unknown,177832.5274,561272.4401,0,110420
110420007,GRAYS_1,Platform 1,177826.17054954646,561262.5663149927,0,110420
110420070,GRAYS_2,Platform 2,177830.0306590793,561250.6118856235,0,110420
110420090,GRAYS_3,Platform 3,177838.639499815,561216.5658390888,0,110420
110421000,EBOUCS,Platform Unknown,100108.817,561316.627,0,110421
110422000,EBOU503,Platform Unknown,99530.1325,561323.7431,0,110422
110423000,NRTHFTJ,Platform Unknown,174595.8917,561332.8579,0,110423
110424000,EBOU501,Platform Unknown,99615.0479,561339.2178,0,110424
110425000,SHENFLD,Platform Unknown,194994.74,561357.1872,0,110425
110425007,SHENFLD_1,Platform 1,194969.40544778833,561368.8291728516,0,110425
110425070,SHENFLD_2,Platform 2,194974.37802583873,561359.6212292503,0,110425
110425090,SHENFLD_3,Platform 3,194934.18135923162,561333.8378674168,0,110425
110425104,SHENFLD_4,Platform 4,194937.84074485206,561319.5829967594,0,110425
110425117,SHENFLD_5,Platform 5,194928.7769495938,561303.1802798169,0,110425
110425128,SHENFLD_6,Platform 6,194887.3646720014,561285.1332774718,0,110425
110426000,EBSFDOM,Platform Unknown,174108.0008,561394.0012,0,110426
110427000,SHENUPS,Platform Unknown,195033.2255,561406.5497,0,110427
110428000,EBSFLTI,Platform Unknown,174099.4915,561428.5981,0,110428
110428070,EBSFLTI_2,Platform 2,174071.6657355451,561398.9317772796,0,110428
110428090,EBSFLTI_3,Platform 3,174070.84665105693,561399.241674587,0,110428
