TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
HNSLTIL,Hunslet Tilcon,1995-01-01,430500.0,431700.0,O,7,17119,False,2,13092,HNSLTIL,Hunslet Tilcon
HNSLTPL,Hunslet T.P.L. GBRF,1995-01-01,431200.0,431000.0,O,7,17171,False,2,13104,HNSLTPL,Hunslet T.P.L. GBRF
HNSLTSJ,Hunslet Station Jn,1995-01-01,430500.0,431600.0,O,7,17163,False,2,13091,HNSLTSJ,Hunslet Station Jn
HNSTNTN,Hunstanton Bus Station,1995-01-01,567300.0,340900.0,O,3,0,False,2,15586,HNSTNTN,Hunstanton Bus Station
HNTL,Huntly,1995-01-01,353537.0,839618.0,O,9,2021,False,4,11886,HNTL,Huntly
HNTNGDN,Huntingdon,1995-01-01,523300.0,271600.0,T,8,45201,False,4,14648,HNTNGDN,Huntingdon
HNTNP38,Huntingdon Sig P38,2012-09-12,523318.0,271961.0,O,8,45204,False,2,14649,HNTNP38,Huntingdon Sig P38
HNTRSHL,Hunterston High Level EWS,1995-01-01,220600.0,651000.0,O,9,8209,False,2,10143,HNTRSHL,Hunterston High Level EWS
HNTRSJN,Hunterston Junction,2005-12-06,573463.0,834456.0,M,9,8210,False,2,15635,HNTRSJN,Hunterston Junction
HNTRSLL,Hunterston LL EWS,1995-01-01,220300.0,651000.0,O,9,8211,False,2,10140,HNTRSLL,Hunterston LL EWS
HOCKLEY,Hockley,1995-01-01,584237.0,192762.0,T,3,50318,False,4,15698,HOCKLEY,Hockley
HOLINWD,Hollinwood,1995-01-01,390372.0,402616.0,O,6,0,False,4,12455,HOLINWD,Hollinwood
HOLME,Holme Jn.,1995-01-01,223700.0,642200.0,T,8,45150,False,2,10153,HOLME,Holme Jn.
HOLTONH,Holton Heath,1995-01-01,394600.0,90200.0,O,3,86961,False,4,12554,HOLTONH,Holton Heath
HOLYTNJ,Holytown Jn,1995-01-01,276744.0,659246.0,T,9,7431,False,2,10785,HOLYTNJ,Holytown Jn
HOLYTWN,Holytown,1995-01-01,276400.0,659500.0,O,9,7397,False,4,10779,HOLYTWN,Holytown
HOMRTON,Homerton,1995-01-01,535840.0,184940.0,O,3,52042,False,4,15100,HOMRTON,Homerton
HONICE,Honiton ISU (CE),2004-12-12,345634.0,543245.0,O,3,83462,False,2,11733,HONICE,Honiton ISU (CE)
HONIT3T,Honiton (Three Tuns),1995-01-01,316400.0,100200.0,O,3,0,False,2,11201,HONIT3T,Honiton (Three Tuns)
HONITNS,Honiton Station,1995-01-01,316400.0,100100.0,O,3,0,False,2,11200,HONITNS,Honiton Station
HONITON,Honiton,1995-01-01,316460.0,100340.0,T,3,83461,False,4,11202,HONITON,Honiton
HONLEY,Honley,1995-01-01,414590.0,412430.0,O,7,18489,False,4,12841,HONLEY,Honley
HONROPK,Honor Oak Park,1995-01-01,535910.0,174145.0,O,3,87628,False,4,15101,HONROPK,Honor Oak Park
HONYBRN,Honeybourne,1995-01-01,411485.0,244820.0,O,5,67356,False,4,12796,HONYBRN,Honeybourne
HONYBTP,Honeybourne Tip,1995-01-01,413000.0,245000.0,O,5,67357,False,2,12816,HONYBTP,Honeybourne Tip
HONYBWJ,Honeybourne West Jn,1995-01-01,412100.0,244500.0,O,5,67355,False,2,12809,HONYBWJ,Honeybourne West Jn
HOOJ,Hoo Junction,1995-01-01,569355.0,174024.0,T,3,88740,False,2,15605,HOOJ,Hoo Junction
HOOJ230,Signal D 230,1995-01-01,568633.0,174115.0,O,3,88733,False,2,15602,HOOJ*,*
HOOJ611,Hoo Junction Signal NK1611,2007-05-20,568633.0,174115.0,M,3,88733,False,1,15602,HOOJ*,*
HOOJD16,Hoo Jn Signal NK443,1995-01-01,569600.0,173700.0,O,3,88741,False,2,15606,HOOJD16,Hoo Jn Signal NK443
HOOJLHR,Hoo Jn - Lwr Higham Rd,1995-01-01,569980.0,173550.0,O,3,0,False,2,15608,HOOJLHR,Hoo Jn - Lwr Higham Rd
HOOJSFH,Hoo Jn Staff Halt,1995-01-01,569980.0,173650.0,O,3,88725,False,2,15609,HOOJSFH,Hoo Jn Staff Halt
HOOK,Hook,1995-01-01,472520.0,153940.0,O,3,86049,False,4,13930,HOOK,Hook
HOOTON,Hooton,1995-01-01,334980.0,378250.0,T,6,38302,False,4,11544,HOOTON,Hooton
HOPC,Hope (Clwyd),1995-01-01,330700.0,358300.0,O,6,41025,False,4,11424,HOPC,Hope (Clwyd)
HOPD,Hope (Derbyshire),1995-01-01,418080.0,383280.0,O,6,34010,False,4,12891,HOPD,Hope (Derbyshire)
HOPSPPS,Hope St Peakstone P.Sdgs,1995-01-01,382845.0,398680.0,O,6,31523,False,2,12287,HOPSPPS,Hope St Peakstone P.Sdgs
HOPTONH,Hopton Heath,1995-01-01,338030.0,277435.0,O,5,79098,False,4,11598,HOPTONH,Hopton Heath
HORBRSJ,Horbury Station Jn,1995-01-01,430900.0,418300.0,O,7,18412,False,2,13098,HORBRSJ,Horbury Station Jn
HORBRYJ,Horbury Jn,1995-01-01,430900.0,418200.0,O,7,18414,False,2,13097,HORBRYJ,Horbury Jn
HORBUGL,Horbury Up Goods Loop,1998-05-24,430900.0,418400.0,O,7,18417,False,2,13099,HORBUGL,Horbury Up Goods Loop
HORD,Horden,2020-05-17,444667.0,541214.0,O,7,13703,False,4,13373,HORD,Horden
HORD137,Horden Signal NS7137,2012-09-12,444836.0,540996.0,O,7,13700,False,2,13381,HORD1*,Horden Signal NS71*
HORD148,Horden Signal NS7148,2012-09-12,444836.0,540996.0,O,7,13701,False,2,13381,HORD1*,Horden Signal NS71*
HORLEY,Horley,1995-01-01,528665.0,142666.0,O,3,87909,False,4,14801,HORLEY,Horley
HORS76,Horsham Signal Cpb76,1995-01-01,517865.0,130980.0,O,3,87941,False,3,14485,HORS*,Horsham*
HORSBS,Horsham Down Sidings North,1995-01-01,518100.0,131800.0,O,3,87947,False,2,14495,HORSBS,Horsham Down Sidings North
HORSDL,Horsham Down Loop,1995-01-01,517900.0,130900.0,O,3,87947,False,2,14486,HORSDL,Horsham Down Loop
HORSDS,Horsham Carriage Sidings,1995-01-01,517550.0,130400.0,O,3,87947,False,2,14480,HORSDS,Horsham Carriage Sidings
HORSHAM,Horsham,1995-01-01,517865.0,130980.0,T,3,87941,False,4,14485,HORS*,Horsham*
HORSHUS,Horsham Up T.C.,1995-01-01,517800.0,131500.0,O,3,87945,False,2,14484,HORSHUS,Horsham Up T.C.
HORSMS,Horsham Down Sidings South,1995-01-01,517950.0,130900.0,O,3,87947,False,2,14490,HORSMS,Horsham Down Sidings South
HORSUL,Horsham Up Loop,1995-01-01,517865.0,130980.0,O,3,87941,False,3,14485,HORS*,Horsham*
HORSUS,Horsham Up Sidings South,1995-01-01,517495.0,130400.0,O,3,87946,False,2,14478,HORSUS,Horsham Up Sidings South
HORWICH,Horwich Parkway,1998-09-27,364365.0,409192.0,O,6,30225,False,4,12032,HORWICH,Horwich Parkway
HOSCAR,Hoscar,1995-01-01,346860.0,411545.0,O,6,35024,False,4,11748,HOSCAR,Hoscar
HOUGHGR,Hough Green,1995-01-01,348530.0,386450.0,O,6,36703,False,4,11773,HOUGHGR,Hough Green
